,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),total consumption (24 hours mm),total consumption (48 hours mm),Total Consumption ,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
35,7/13/17,143 3284,FW,5/10/17,HMP,5/8/17,,WE,6.0,5,,,C,10-5,4,0,4,analog,,SLD,FW,,,,vegetative,spore,,,
37,7/13/17,143 3285,FW,5/10/17,HMP,5/8/17,,WE,6.0,6,,,C,10-3,260,25,285,analog,,SLD,FW,,,,vegetative,spore,,,
39,7/13/17,143 3286,FW,5/10/17,HMP,5/8/17,,WE,6.0,6,,,C,10-4,61,4,65,analog,,SLD,FW,,,,vegetative,spore,,,
41,7/13/17,143 3287,FW,5/10/17,HMP,5/8/17,,WE,6.0,6,,,C,10-5,12,0,12,analog,,SLD,FW,,,,vegetative,spore,,,
43,6/14/17,137 2757,,5/10/17,HMP,5/8/17,,WE,6.0,7,,,C,10-3,208,10,218,analog,PJW,SLD,FW,,,,vegetative,spore,,,
45,6/14/17,137 2756,,5/10/17,HMP,5/8/17,,WE,6.0,7,,,C,10-4,36,3,39,analog,PJW,SLD,FW,,,,vegetative,spore,,,
47,6/14/17,137 2755,,5/10/17,HMP,5/8/17,,WE,6.0,7,,,C,10-5,3,0,3,analog,PJW,SLD,FW,,,,vegetative,spore,,,
49,6/14/17,137 2752,,5/10/17,HMP,5/8/17,,WE,6.0,8,,,C,10-3,299,24,323,analog,PJW,SLD,FW,,,,vegetative,spore,,,
51,6/14/17,137 2751,,5/10/17,HMP,5/8/17,,WE,6.0,8,,,C,10-4,28,2,30,analog,PJW,SLD,FW,,,,vegetative,spore,,,
53,6/14/17,138 2749,,5/10/17,HMP,5/8/17,,WE,6.0,8,,,C,10-5,10,3,13,analog,PJW,SLD,FW,,,,vegetative,spore,,,
55,6/14/17,137 2744,,5/10/17,HMP,5/8/17,,WE,6.0,9,,,C,10-3,259,28,287,analog,PJW,SLD,FW,,,,vegetative,spore,,,
57,6/14/17,137 2745,,5/10/17,HMP,5/8/17,,WE,6.0,9,,,C,10-4,79,9,88,analog,PJW,SLD,FW,,,,vegetative,spore,,,
59,6/14/17,137 2746,,5/10/17,HMP,5/8/17,,WE,6.0,9,,,C,10-5,12,1,13,analog,PJW,SLD,FW,,,,vegetative,spore,,,
61,6/9/17,136 2690,,5/10/17,HMP,5/8/17,,WE,6.0,10,,,C,10-3,129,3,132,analog,,SLD,FW,,,,vegetative,spore,,,
63,6/9/17,136 2691,,5/10/17,HMP,5/8/17,,WE,6.0,10,,,C,10-4,27,6,33,analog,,SLD,FW,,,,vegetative,spore,,,
65,6/9/17,136 2692,,5/10/17,HMP,5/8/17,,WE,6.0,10,,,C,10-5,2,0,2,analog,,SLD,FW,,,,vegetative,spore,,,
67,6/9/17,136 2686,,5/10/17,HMP,5/8/17,,WE,6.0,11,,,C,10-3,850,40,890,analog,,SLD,FW,,,,vegetative,spore,,,
69,6/9/17,136 2688,,5/10/17,HMP,5/8/17,,WE,6.0,11,,,C,10-4,68,9,77,analog,,SLD,FW,,,,vegetative,spore,,,
71,6/9/17,136 2689,,5/10/17,HMP,5/8/17,,WE,6.0,11,,,C,10-5,11,0,11,analog,,SLD,FW,,,,vegetative,spore,,,
73,6/9/17,136 2680,,5/10/17,HMP,5/8/17,,WE,6.0,12,,,C,10-3,1045,88,1133,analog,,SLD,FW,,,,vegetative,spore,,,
75,6/9/17,136 2681,,5/10/17,HMP,5/8/17,,WE,6.0,12,,,C,10-4,107,5,112,analog,,SLD,FW,,,,vegetative,spore,,,
77,6/9/17,136 2685,,5/10/17,HMP,5/8/17,,WE,6.0,12,,,C,10-5,8,0,8,analog,,SLD,FW,,,,vegetative,spore,,,
79,5/12/17,123 1768,,5/10/17,HMP,5/8/17,,WE,6.0,13,,,C,10-3,181,4,185,analog,DC,"KL, KMM",FW,,,,vegetative,spore,,,
81,5/12/17,123 1769,,5/10/17,HMP,5/8/17,,WE,6.0,13,,,C,10-4,45,9,54,analog,DC,"KL, KMM",FW,,,,vegetative,spore,,,
83,5/12/17,123 1770 ,,5/10/17,HMP,5/8/17,,WE,6.0,13,,,C,10-5,5,0,5,analog,DC,"KL, KMM",FW,,,,vegetative,spore,,,
85,5/12/17,123 1771 ,,5/10/17,HMP,5/8/17,,WE,6.0,14,,,C,10-3,814,56,870,analog,DC,"KL, KMM",FW,,,,vegetative,spore,,,
87,5/12/17,123 1772,,5/10/17,HMP,5/8/17,,WE,6.0,14,,,C,10-4,114,13,127,analog,DC,"KL, KMM",FW,,,,vegetative,spore,,,
89,5/12/17,123 1773,,5/10/17,HMP,5/8/17,,WE,6.0,14,,,C,10-5,230,0,230,analog,DC,"KL, KMM",FW,,,,vegetative,spore,,,
91,5/12/17,123 1774,,5/10/17,HMP,5/8/17,,WE,6.0,15,,,C,10-3,404,19,423,analog,DC,"KL, KMM",FW,,,,vegetative,spore,,,contaminated
93,5/12/17,123 1775,,5/10/17,HMP,5/8/17,,WE,6.0,15,,,C,10-4,65,3,68,analog,DC,"KL, KMM",FW,,,,vegetative,spore,,,
95,5/12/17,123 1777,,5/10/17,HMP,5/8/17,,WE,6.0,15,,,C,10-5,16,0,16,analog,DC,"KL, KMM",FW,,,,vegetative,spore,,,
97,5/15/17,124 1778,,5/10/17,UR,5/8/17,,WE,6.0,1,,F,T,10-2,33,214,247,analog,ST,HB,FW,17.0,25.0,21.0,vegetative,spore,,,
99,5/15/17,124 1779 ,,5/10/17,UR,5/8/17,,WE,6.0,1,,F,T,10-3,357,70,427,analog,ST,HB,FW,17.0,25.0,21.0,vegetative,spore,,,contaminated
101,5/15/17,124 1780,,5/10/17,UR,5/8/17,,WE,6.0,1,,F,T,10-4,841,56,897,analog,ST,HB,FW,17.0,25.0,21.0,vegetative,spore,,,
103,5/15/17,124 1781,,5/10/17,UR,5/8/17,,WE,6.0,2,,F,T,10-2,67,43,110,analog,ST,HB,FW,24.0,33.0,28.5,vegetative,spore,,,contaminated
105,5/15/17,124 1782,,5/10/17,UR,5/8/17,,WE,6.0,2,,F,T,10-3,nan,nan,0,analog,,,,24.0,33.0,28.5,vegetative,spore,,,
107,5/15/17,124 1783,,5/10/17,UR,5/8/17,,WE,6.0,2,,F,T,10-4,585,98,683,analog,ST,HB,FW,24.0,33.0,28.5,vegetative,spore,,,contaminated
109,5/15/17,124 1784,,5/10/17,UR,5/8/17,,WE,6.0,3,,F,T,10-2,76,512,588,analog,ST,HB,FW,36.0,63.0,49.5,vegetative,spore,,,contaminated
111,5/15/17,124 1785,,5/10/17,UR,5/8/17,,WE,6.0,3,,F,T,10-3,580,94,674,analog,ST,HB,FW,36.0,63.0,49.5,vegetative,spore,,,
113,5/15/17,124 1786,,5/10/17,UR,5/8/17,,WE,6.0,3,,F,T,10-4,687,77,764,analog,ST,HB,FW,36.0,63.0,49.5,vegetative,spore,,,contaminated
115,5/15/17,124 1787,,5/10/17,UR,5/8/17,,WE,6.0,4,,F,T,10-2,453,11,464,analog,,SLD,FW,16.0,39.0,27.5,vegetative,spore,,,contaminated
117,5/15/17,124 1788,,5/10/17,UR,5/8/17,,WE,6.0,4,,F,T,10-3,1270,553,1823,analog,,SLD,FW,16.0,39.0,27.5,vegetative,spore,,,contaminated
119,5/15/17,124 1789,,5/10/17,UR,5/8/17,,WE,6.0,4,,F,T,10-4,914,206,1120,analog,,SLD,FW,16.0,39.0,27.5,vegetative,spore,,,contaminated
121,5/15/17,124 1790 ,,5/10/17,UR,5/8/17,,WE,6.0,5,,F,T,10-2,685,334,1019,analog,,SLD,FW,23.0,33.0,28.0,vegetative,spore,,,contaminated
123,5/15/17,124 1791 ,,5/10/17,UR,5/8/17,,WE,6.0,5,,F,T,10-3,684,59,743,analog,,SLD,FW,23.0,33.0,28.0,vegetative,spore,,,contaminated
125,5/15/17,124 1792 ,,5/10/17,UR,5/8/17,,WE,6.0,5,,F,T,10-4,513,61,574,analog,,SLD,FW,23.0,33.0,28.0,vegetative,spore,,,contaminated
127,5/15/17,124 1793 ,,5/10/17,UR,5/8/17,,WE,6.0,6,,F,T,10-2,55,161,216,analog,,SLD,FW,16.0,26.0,21.0,vegetative,spore,,,contaminated
129,5/15/17,124 1794 ,,5/10/17,UR,5/8/17,,WE,6.0,6,,F,T,10-3,431,60,491,analog,,SLD,FW,16.0,26.0,21.0,vegetative,spore,,,
131,5/15/17,124 1795 ,,5/10/17,UR,5/8/17,,WE,6.0,6,,F,T,10-4,381,64,445,analog,,SLD,FW,16.0,26.0,21.0,vegetative,spore,,,contaminated
133,5/15/17,124 1796,,5/10/17,UR,5/8/17,,WE,6.0,7,,F,T,10-2,130,6,136,analog,DC,KMM,FW,50.0,71.0,60.5,vegetative,spore,,,contaminated
135,5/15/17,124 1797 ,,5/10/17,UR,5/8/17,,WE,6.0,7,,F,T,10-3,430,40,470,analog,DC,KMM,FW,50.0,71.0,60.5,vegetative,spore,,,contaminated
137,5/15/17,124 1798 ,,5/10/17,UR,5/8/17,,WE,6.0,7,,F,T,10-4,288,38,326,analog,DC,KMM,FW,50.0,71.0,60.5,vegetative,spore,,,contaminated
139,5/15/17,124 1799 ,,5/10/17,UR,5/8/17,,WE,6.0,8,,F,T,10-2,77,0,77,analog,DC,KMM,FW,37.0,50.0,43.5,vegetative,spore,,,contaminated
141,5/15/17,124 1800,,5/10/17,UR,5/8/17,,WE,6.0,8,,F,T,10-3,356,66,422,analog,DC,KMM,FW,37.0,50.0,43.5,vegetative,spore,,,contaminated
143,5/15/17,124 1801 ,,5/10/17,UR,5/8/17,,WE,6.0,8,,F,T,10-4,55,3,58,analog,DC,KMM,FW,37.0,50.0,43.5,vegetative,spore,,,contaminated
145,5/15/17,124 1802,,5/10/17,UR,5/8/17,,WE,6.0,9,,F,T,10-2,40,3,43,analog,DC,KMM,FW,11.0,20.0,15.5,vegetative,spore,,,contaminated
147,5/15/17,124 1803 ,,5/10/17,UR,5/8/17,,WE,6.0,9,,F,T,10-3,340,59,399,analog,DC,KMM,FW,11.0,20.0,15.5,vegetative,spore,,,contaminated
149,5/15/17,124 1804 ,,5/10/17,UR,5/8/17,,WE,6.0,9,,F,T,10-4,73,2,75,analog,DC,KMM,FW,11.0,20.0,15.5,vegetative,spore,,,contaminated
151,5/15/17,124 1805,,5/10/17,UR,5/8/17,,WE,6.0,10,,F,T,10-2,34,4,38,analog,BC,KMM,FW,27.0,38.0,32.5,vegetative,spore,,,contaminated
153,5/15/17,124 1806,,5/10/17,UR,5/8/17,,WE,6.0,10,,F,T,10-3,327,23,350,analog,BC,KMM,FW,27.0,38.0,32.5,vegetative,spore,,,contaminated
155,5/15/17,124 1807 ,,5/10/17,UR,5/8/17,,WE,6.0,10,,F,T,10-4,59,6,65,analog,BC,KMM,FW,27.0,38.0,32.5,vegetative,spore,,,contaminated
157,5/15/17,124 1808,,5/10/17,UR,5/8/17,,WE,6.0,11,,F,T,10-2,6,53,59,analog,BH,AZD,FW,16.0,33.0,24.5,vegetative,spore,,,contaminated
159,5/15/17,124 1810 ,,5/10/17,UR,5/8/17,,WE,6.0,11,,F,T,10-3,57,10,67,analog,BH,AZD,FW,16.0,33.0,24.5,vegetative,spore,,,contaminated
161,5/15/17,124 1811 ,,5/10/17,UR,5/8/17,,WE,6.0,11,,F,T,10-4,69,7,76,analog,BH,AZD,FW,16.0,33.0,24.5,vegetative,spore,,,contaminated
163,5/15/17,124 1812 ,,5/10/17,UR,5/8/17,,WE,6.0,12,,F,T,10-2,372,46,418,analog,BH,AZD,FW,12.0,43.0,27.5,vegetative,spore,,,contaminated
165,5/15/17,124 1813,,5/10/17,UR,5/8/17,,WE,6.0,12,,F,T,10-3,299,32,331,analog,BH,AZD,FW,12.0,43.0,27.5,vegetative,spore,,,contaminated
167,5/15/17,124 1814 ,,5/10/17,UR,5/8/17,,WE,6.0,12,,F,T,10-4,89,14,103,analog,BC,KMM,FW,12.0,43.0,27.5,vegetative,spore,,,contaminated
169,5/15/17,124 1815 ,,5/10/17,UR,5/8/17,,WE,6.0,13,,F,T,10-2,672,154,826,analog,ST,FW,FW,15.0,22.0,18.5,vegetative,spore,,,contaminated
171,5/15/17,124 1816 ,,5/10/17,UR,5/8/17,,WE,6.0,13,,F,T,10-3,221,15,236,analog,ST,FW,FW,15.0,22.0,18.5,vegetative,spore,,,contaminated
173,5/15/17,124 1817,,5/10/17,UR,5/8/17,,WE,6.0,13,,F,T,10-4,125,9,134,analog,ST,FW,FW,15.0,22.0,18.5,vegetative,spore,,,
175,5/15/17,124 1818 ,,5/10/17,UR,5/8/17,,WE,6.0,14,,F,T,10-2,538,76,614,analog,ST,FW,FW,22.0,36.0,29.0,vegetative,spore,,,contaminated
177,5/15/17,124 1819,,5/10/17,UR,5/8/17,,WE,6.0,14,,F,T,10-3,526,79,605,analog,ST,FW,FW,22.0,36.0,29.0,vegetative,spore,,,
179,5/15/17,124 1820,,5/10/17,UR,5/8/17,,WE,6.0,14,,F,T,10-4,104,9,113,analog,ST,FW,FW,22.0,36.0,29.0,vegetative,spore,,,
181,5/15/17,124 1821,,5/10/17,UR,5/8/17,,WE,6.0,15,,F,T,10-2,2115,724,2839,analog,ST,FW,FW,35.0,49.0,42.0,vegetative,spore,,,
183,5/15/17,124 1822,,5/10/17,UR,5/8/17,,WE,6.0,15,,F,T,10-3,1016,180,1196,analog,ST,FW,FW,35.0,49.0,42.0,vegetative,spore,,,
185,5/15/17,124 1823,,5/10/17,UR,5/8/17,,WE,6.0,15,,F,T,10-4,187,22,209,analog,ST,FW,FW,35.0,49.0,42.0,vegetative,spore,,,
187,5/15/17,124 1824,,5/10/17,HMP,5/8/17,,WE,6.0,16,,F,T,10-2,2,0,2,analog,,HB,,24.0,39.0,31.5,vegetative,spore,,,
189,5/15/17,124 1825,,5/10/17,HMP,5/8/17,,WE,6.0,16,,F,T,10-3,2,0,2,analog,,HB,,24.0,39.0,31.5,vegetative,spore,,,
191,5/15/17,124 1874,,5/10/17,HMP,5/8/17,,WE,6.0,16,,F,T,10-4,0,0,0,analog,,HB,,24.0,39.0,31.5,vegetative,spore,,,contaminated
193,5/15/17,124 1827,,5/10/17,HMP,5/8/17,,WE,6.0,17,,F,T,10-2,0,0,0,analog,,HB,,13.0,20.0,16.5,vegetative,spore,,,
195,5/15/17,124 1828,,5/10/17,HMP,5/8/17,,WE,6.0,17,,F,T,10-3,0,0,0,analog,,HB,,13.0,20.0,16.5,vegetative,spore,,,
197,5/15/17,124 1877,,5/10/17,HMP,5/8/17,,WE,6.0,17,,F,T,10-4,0,0,0,analog,,HB,,13.0,20.0,16.5,vegetative,spore,,,contaminated
199,5/15/17,124 1831,,5/10/17,HMP,5/8/17,,WE,6.0,18,,F,T,10-2,18,0,18,analog,,HB,,18.0,32.0,25.0,vegetative,spore,,,contaminated
201,5/15/17,124 1832,,5/10/17,HMP,5/8/17,,WE,6.0,18,,F,T,10-3,0,0,0,analog,,HB,,18.0,32.0,25.0,vegetative,spore,,,contaminated
203,5/15/17,124 1882,,5/10/17,HMP,5/8/17,,WE,6.0,18,,F,T,10-4,0,0,0,analog,,HB,,18.0,32.0,25.0,vegetative,spore,,,contaminated
205,5/15/17,124 1835,,5/10/17,HMP,5/8/17,,WE,6.0,19,,F,T,10-2,5,0,5,analog,,KMM,,25.0,30.0,27.5,vegetative,spore,,,tiny colonies
207,5/15/17,124 1836,,5/10/17,HMP,5/8/17,,WE,6.0,19,,F,T,10-3,0,0,0,analog,,KMM,,25.0,30.0,27.5,vegetative,spore,,,
209,5/15/17,124 1885,,5/10/17,HMP,5/8/17,,WE,6.0,19,,F,T,10-4,0,0,0,analog,,KMM,,25.0,30.0,27.5,vegetative,spore,,,
211,5/15/17,124 1838,,5/10/17,HMP,5/8/17,,WE,6.0,20,,F,T,10-2,9,0,9,analog,,KMM,,21.0,38.0,29.5,vegetative,spore,,,
213,5/15/17,124 1839,,5/10/17,HMP,5/8/17,,WE,6.0,20,,F,T,10-3,1,0,1,analog,,KMM,,21.0,38.0,29.5,vegetative,spore,,,
215,5/15/17,124 1888,,5/10/17,HMP,5/8/17,,WE,6.0,20,,F,T,10-4,0,0,0,analog,,KMM,,21.0,38.0,29.5,vegetative,spore,,,contaminated
217,5/15/17,124 1841,,5/10/17,HMP,5/8/17,,WE,6.0,21,,F,T,10-2,7,0,7,analog,,KMM,,15.0,35.0,25.0,vegetative,spore,,,
219,5/15/17,124 1842,,5/10/17,HMP,5/8/17,,WE,6.0,21,,F,T,10-3,0,0,0,analog,,KMM,,15.0,35.0,25.0,vegetative,spore,,,
221,5/15/17,124 1891,,5/10/17,HMP,5/8/17,,WE,6.0,21,,F,T,10-4,0,0,0,analog,,KMM,,15.0,35.0,25.0,vegetative,spore,,,
223,5/15/17,124 1844,,5/10/17,HMP,5/8/17,,WE,6.0,22,,F,T,10-2,0,54,54,analog,ST,HB,,21.0,30.0,25.5,vegetative,spore,,,
225,5/15/17,124 1845,,5/10/17,HMP,5/8/17,,WE,6.0,22,,F,T,10-3,6,0,6,analog,ST,HB,,21.0,30.0,25.5,vegetative,spore,,,
227,5/15/17,124 1895,,5/10/17,HMP,5/8/17,,WE,6.0,22,,F,T,10-4,2,0,2,analog,ST,HB,,21.0,30.0,25.5,vegetative,spore,,,
229,5/15/17,124 1847,,5/10/17,HMP,5/8/17,,WE,6.0,23,,F,T,10-2,6,0,6,analog,ST,HB,,16.0,24.0,20.0,vegetative,spore,,,
231,5/15/17,124 1849,,5/10/17,HMP,5/8/17,,WE,6.0,23,,F,T,10-3,0,0,0,analog,ST,HB,,16.0,24.0,20.0,vegetative,spore,,,
233,5/15/17,124 1898,,5/10/17,HMP,5/8/17,,WE,6.0,23,,F,T,10-4,0,0,0,analog,ST,HB,,16.0,24.0,20.0,vegetative,spore,,,
235,5/15/17,124 1851,,5/10/17,HMP,5/8/17,,WE,6.0,24,,F,T,10-2,11,49,60,analog,HB,HB,,22.0,40.0,31.0,vegetative,spore,,,contaminated
237,5/15/17,124 1852,,5/10/17,HMP,5/8/17,,WE,6.0,24,,F,T,10-3,0,9,9,analog,HB,HB,,22.0,40.0,31.0,vegetative,spore,,,contaminated
239,5/15/17,124 1901,,5/10/17,HMP,5/8/17,,WE,6.0,24,,F,T,10-4,8,0,8,analog,ST,HB,,22.0,40.0,31.0,vegetative,spore,,,
241,5/15/17,124 1854,,5/10/17,HMP,5/8/17,,WE,6.0,25,,F,T,10-2,5,19,24,analog,ST,SLD,,27.0,44.0,35.5,vegetative,spore,,,
243,5/15/17,124 1855,,5/10/17,HMP,5/8/17,,WE,6.0,25,,F,T,10-3,1,0,1,analog,ST,SLD,,27.0,44.0,35.5,vegetative,spore,,,
245,5/15/17,124 1904,,5/10/17,HMP,5/8/17,,WE,6.0,25,,F,T,10-4,34,0,34,analog,ST,SLD,,27.0,44.0,35.5,vegetative,spore,,,
247,5/15/17,124 1857,,5/10/17,HMP,5/8/17,,WE,6.0,26,,F,T,10-2,11,8,19,analog,ST,SLD,,22.0,34.0,28.0,vegetative,spore,,,contaminated
249,5/15/17,124 1858,,5/10/17,HMP,5/8/17,,WE,6.0,26,,F,T,10-3,2,0,2,analog,ST,SLD,,22.0,34.0,28.0,vegetative,spore,,,contaminated
251,5/15/17,124 1907,,5/10/17,HMP,5/8/17,,WE,6.0,26,,F,T,10-4,0,0,0,analog,ST,SLD,,22.0,34.0,28.0,vegetative,spore,,,
253,5/15/17,124 1860,,5/10/17,HMP,5/8/17,,WE,6.0,27,,F,T,10-2,4,0,4,analog,ST,SLD,,20.0,28.0,24.0,vegetative,spore,,,
255,5/15/17,124 1861,,5/10/17,HMP,5/8/17,,WE,6.0,27,,F,T,10-3,0,0,0,analog,ST,SLD,,20.0,28.0,24.0,vegetative,spore,,,
257,5/15/17,124 1910,,5/10/17,HMP,5/8/17,,WE,6.0,27,,F,T,10-4,0,0,0,analog,ST,SLD,,20.0,28.0,24.0,vegetative,spore,,,contaminated
259,5/15/17,124 1863,,5/10/17,HMP,5/8/17,,WE,6.0,28,,F,T,10-2,38,0,38,analog,KN,HB,,16.0,25.0,20.5,vegetative,spore,,,contaminated
261,5/15/17,124 1864,,5/10/17,HMP,5/8/17,,WE,6.0,28,,F,T,10-3,12,1,13,analog,KN,HB,,16.0,25.0,20.5,vegetative,spore,,,contaminated
263,5/15/17,124 1913,,5/10/17,HMP,5/8/17,,WE,6.0,28,,F,T,10-4,0,0,0,analog,KN,HB,,16.0,25.0,20.5,vegetative,spore,,,contaminated
265,5/15/17,124 1866,,5/10/17,HMP,5/8/17,,WE,6.0,29,,F,T,10-2,4,0,4,analog,KN,HB,,24.0,32.0,28.0,vegetative,spore,,,
267,5/15/17,124 1867,,5/10/17,HMP,5/8/17,,WE,6.0,29,,F,T,10-3,0,0,0,analog,HB,HB,,24.0,32.0,28.0,vegetative,spore,,,
269,5/15/17,124 1916,,5/10/17,HMP,5/8/17,,WE,6.0,29,,F,T,10-4,0,0,0,analog,HB,HB,,24.0,32.0,28.0,vegetative,spore,,,
271,5/15/17,124 1868,,5/10/17,HMP,5/8/17,,WE,6.0,30,,F,T,10-2,6,2,8,analog,HB,HB,,30.0,66.0,48.0,vegetative,spore,,,
273,5/15/17,124 1869,,5/10/17,HMP,5/8/17,,WE,6.0,30,,F,T,10-3,3,0,3,analog,HB,HB,,30.0,66.0,48.0,vegetative,spore,,,contaminated
275,5/15/17,125 1919,,5/10/17,HMP,5/8/17,,WE,6.0,30,,F,T,10-4,0,0,0,analog,HB,HB,,30.0,66.0,48.0,vegetative,spore,,,
277,6/9/17,136 2679,,5/10/17,KMM,5/8/17,,WE,6.0,1,,M,T,10-2,1,288,289,analog,PJW,SLD,FW,14.0,16.0,15.0,vegetative,spore,,,contaminated
279,6/9/17,136 2678,,5/10/17,KMM,5/8/17,,WE,6.0,1,,M,T,10-3,0,41,41,analog,PJW,SLD,FW,14.0,16.0,15.0,vegetative,spore,,,contaminated
281,6/9/17,136 2677,,5/10/17,KMM,5/8/17,,WE,6.0,1,,M,T,10-4,0,1,1,analog,PJW,SLD,FW,14.0,16.0,15.0,vegetative,spore,,,contaminated
283,6/9/17,136 2674,,5/10/17,KMM,5/8/17,,WE,6.0,2,,M,T,10-2,4,268,272,analog,PJW,SLD,FW,13.0,23.0,18.0,vegetative,spore,,,contaminated
285,6/9/17,136 2673,,5/10/17,KMM,5/8/17,,WE,6.0,2,,M,T,10-3,0,58,58,analog,PJW,SLD,FW,13.0,23.0,18.0,vegetative,spore,,,contaminated
287,6/9/17,136 2672,,5/10/17,KMM,5/8/17,,WE,6.0,2,,M,T,10-4,0,7,7,analog,PJW,SLD,FW,13.0,23.0,18.0,vegetative,spore,,,
289,6/9/17,136 2671,,5/10/17,KMM,5/8/17,,WE,6.0,3,,M,T,10-2,3,192,195,analog,PJW,SLD,FW,7.0,16.0,11.5,vegetative,spore,,,
291,6/9/17,136 2670,,5/10/17,KMM,5/8/17,,WE,6.0,3,,M,T,10-3,0,36,36,analog,PJW,SLD,FW,7.0,16.0,11.5,vegetative,spore,,,contaminated
293,6/9/17,136 2669,,5/10/17,KMM,5/8/17,,WE,6.0,3,,M,T,10-4,0,8,8,analog,PJW,SLD,FW,7.0,16.0,11.5,vegetative,spore,,,contaminated
295,7/13/17,143 3288,FW,5/10/17,KMM,5/8/17,,WE,6.0,4,,M,T,10-2,40,476,516,analog,,SLD,FW,8.0,25.0,16.5,vegetative,spore,,,
297,7/13/17,143 3289,FW,5/10/17,KMM,5/8/17,,WE,6.0,4,,M,T,10-3,6,35,41,analog,,SLD,FW,8.0,25.0,16.5,vegetative,spore,,,
299,7/13/17,143 3290,FW,5/10/17,KMM,5/8/17,,WE,6.0,4,,M,T,10-4,0,3,3,analog,,SLD,FW,8.0,25.0,16.5,vegetative,spore,,,
301,7/13/17,143 3291,FW,5/10/17,KMM,5/8/17,,WE,6.0,5,,M,T,10-2,1,700,701,analog,,SLD,FW,9.0,16.0,12.5,vegetative,spore,,,
303,7/13/17,143 3292,FW,5/10/17,KMM,5/8/17,,WE,6.0,5,,M,T,10-3,0,69,69,analog,,SLD,FW,9.0,16.0,12.5,vegetative,spore,,,
