,Trial #,Replicate Number,Fly Sex,24 hour consumption,48 hour consumption,total consumption (mm),total consumption (ul),Red Count,Green Count
444,2,13,F,15,22,18.5,1.6818181819999998,82,0
446,2,14,F,22,36,29.0,2.636363636,4,1
448,2,15,F,35,49,42.0,3.8181818180000002,2,0
450,2,16,F,24,39,31.5,2.8636363639999995,2,1
452,2,17,F,13,20,16.5,1.5,1,1
454,2,18,F,18,32,25.0,2.272727273,95,4
456,2,19,F,25,30,27.5,2.5,54,1
458,2,20,F,21,38,29.5,2.6818181819999998,31,2
460,2,21,F,15,35,25.0,2.272727273,11,0
462,2,22,F,21,30,25.5,2.3181818180000002,0,0
464,2,23,F,16,24,20.0,1.8181818180000002,0,0
466,2,24,F,22,40,31.0,2.8181818180000002,0,0
468,2,25,F,27,44,35.5,3.227272727,2,0
470,2,26,F,22,34,28.0,2.545454545,78,4
472,2,27,F,20,28,24.0,2.1818181819999998,197,42
474,2,28,F,16,25,20.5,1.863636364,96,18
476,2,29,F,24,32,28.0,2.545454545,59,13
478,2,30,F,30,66,48.0,4.3636363639999995,0,0
480,2,1,F,17,25,21.0,1.9090909090000001,0,2
482,2,2,F,24,33,28.5,2.590909091,0,3
484,2,3,F,36,63,49.5,4.5,3,0
486,2,4,F,16,39,27.5,2.5,88,0
488,2,5,F,23,33,28.0,2.545454545,7,0
490,2,6,F,16,26,21.0,1.9090909090000001,1,0
492,2,7,F,50,71,60.5,5.5,4,0
494,2,8,F,37,50,43.5,3.954545455,30,0
496,2,9,F,11,20,15.5,1.4090909090000001,3,0
498,2,10,F,27,38,32.5,2.954545455,65,1
500,2,11,F,16,33,24.5,2.227272727,17,0
502,2,12,F,12,43,27.5,2.5,32,6
504,2,13,F,15,22,18.5,1.6818181819999998,0,2
506,2,14,F,22,36,29.0,2.636363636,7,3
508,2,15,F,35,49,42.0,3.8181818180000002,9,0
510,2,16,F,24,39,31.5,2.8636363639999995,16,1
512,2,17,F,13,20,16.5,1.5,47,6
514,2,18,F,18,32,25.0,2.272727273,5,0
516,2,19,F,25,30,27.5,2.5,10,2
518,2,20,F,21,38,29.5,2.6818181819999998,0,3
520,2,21,F,15,35,25.0,2.272727273,32,2
522,2,22,F,21,30,25.5,2.3181818180000002,42,18
524,2,23,F,16,24,20.0,1.8181818180000002,6,0
526,2,24,F,22,40,31.0,2.8181818180000002,41,13
528,2,25,F,27,44,35.5,3.227272727,0,0
530,2,26,F,22,34,28.0,2.545454545,0,0
532,2,27,F,20,28,24.0,2.1818181819999998,67,23
534,2,28,F,16,25,20.5,1.863636364,89,34
536,2,29,F,24,32,28.0,2.545454545,18,5
538,2,30,F,30,66,48.0,4.3636363639999995,0,0
